YEAR,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1982,-0.2,-0.22,-0.26,-0.13,0.02,-0.06,-0.24,-0.17,-0.05,0.11,0.13,0.34
1983,0.34,0.3,0.15,0.08,0.09,0.19,0.03,-0.01,-0.1,-0.35,-0.46,-0.42
1984,-0.4,-0.37,-0.35,-0.41,-0.56,-0.61,-0.42,-0.4,-0.26,-0.49,-0.49,-0.61
1985,-0.63,-0.57,-0.65,-0.67,-0.71,-0.73,-0.58,-0.56,-0.55,-0.6,-0.55,-0.54
1986,-0.61,-0.43,-0.48,-0.51,-0.48,-0.39,-0.34,-0.37,-0.29,-0.23,-0.17,-0.18
1987,-0.14,-0.11,0.04,-0.04,0.04,0.05,0.14,0.16,0.22,0.18,0.22,0.2
1988,0.17,0.07,0.04,-0.16,-0.41,-0.52,-0.53,-0.43,-0.37,-0.56,-0.73,-0.75
1989,-0.71,-0.65,-0.64,-0.6,-0.54,-0.52,-0.42,-0.39,-0.3,-0.34,-0.43,-0.35
1990,-0.33,-0.13,-0.22,-0.16,-0.21,-0.29,-0.26,-0.23,-0.18,-0.17,-0.2,-0.13
1991,-0.13,-0.13,-0.18,-0.12,-0.04,-0.04,-0.09,-0.1,-0.18,-0.13,-0.13,-0.04
1992,-0.07,-0.01,-0.09,-0.03,0.04,-0.14,-0.24,-0.36,-0.31,-0.36,-0.4,-0.4
1993,-0.28,-0.23,-0.29,-0.23,-0.1,-0.21,-0.2,-0.27,-0.17,-0.19,-0.08,-0.1
1994,-0.14,-0.25,-0.24,-0.29,-0.22,-0.28,-0.32,-0.25,-0.36,-0.17,-0.09,-0.04
1995,-0.03,0.0,-0.08,-0.2,-0.21,-0.13,-0.1,-0.24,-0.28,-0.35,-0.34,-0.39
1996,-0.39,-0.35,-0.3,-0.35,-0.39,-0.31,-0.3,-0.26,-0.28,-0.33,-0.42,-0.44
1997,-0.46,-0.39,-0.35,-0.26,-0.13,-0.0,0.16,0.21,0.31,0.4,0.55,0.63
1998,0.62,0.67,0.53,0.37,0.34,0.16,0.09,0.01,-0.09,-0.24,-0.33,-0.44
1999,-0.53,-0.4,-0.34,-0.53,-0.52,-0.49,-0.38,-0.42,-0.43,-0.52,-0.56,-0.52
2000,-0.56,-0.47,-0.48,-0.4,-0.42,-0.45,-0.4,-0.3,-0.21,-0.3,-0.32,-0.43
2001,-0.32,-0.3,-0.08,-0.16,-0.14,-0.13,-0.13,-0.19,-0.12,-0.16,-0.29,-0.26
2002,-0.17,-0.18,-0.03,-0.03,0.04,0.1,0.04,0.02,0.07,0.08,0.18,0.32
2003,0.23,0.19,0.14,-0.03,-0.23,-0.1,0.03,0.08,0.08,0.18,0.12,0.1
2004,0.16,0.09,-0.04,-0.01,-0.25,-0.28,-0.18,-0.08,0.1,0.07,0.15,0.2
2005,0.24,0.15,0.15,0.08,0.08,0.01,0.01,0.07,0.01,-0.01,-0.21,-0.23
2006,-0.3,-0.13,-0.21,-0.18,-0.04,0.06,-0.03,0.11,0.21,0.16,0.28,0.39
2007,0.36,0.24,0.06,0.03,-0.1,0.03,-0.1,-0.13,-0.13,-0.26,-0.42,-0.38
2008,-0.38,-0.38,-0.29,-0.31,-0.24,-0.22,-0.05,0.08,0.12,0.06,-0.03,-0.18
2009,-0.15,-0.21,-0.16,-0.06,0.13,0.3,0.29,0.32,0.26,0.35,0.39,0.5
2010,0.47,0.45,0.49,0.51,0.34,0.2,0.05,-0.14,-0.24,-0.27,-0.34,-0.38
2011,-0.44,-0.28,-0.23,-0.22,-0.18,-0.13,-0.09,-0.1,-0.19,-0.21,-0.22,-0.33
2012,-0.27,-0.24,-0.26,-0.11,-0.03,-0.01,0.02,0.12,0.15,0.1,0.17,0.04
2013,0.04,0.07,0.04,0.06,-0.1,-0.18,-0.14,-0.11,0.03,0.04,0.08,0.02
2014,0.0,-0.11,-0.02,0.13,0.3,0.37,0.19,0.22,0.19,0.27,0.33,0.3
2015,0.25,0.26,0.19,0.4,0.45,0.48,0.56,0.55,0.64,0.72,0.91,0.97
2016,1.04,0.81,0.84,0.65,0.47,0.39,0.29,0.26,0.22,0.16,0.12,0.24
2017,0.24,0.27,0.33,0.36,0.35,0.27,0.3,0.32,0.15,0.17,0.05,-0.11
2018,-0.08,-0.07,-0.05,0.03,0.08,0.08,0.1,0.16,0.26,0.41,0.45,0.49
2019,0.45,0.38,0.43,0.4,0.38,0.36,0.28,0.2,0.16,0.31,0.41,0.5
2020,0.61,0.55,0.54,0.53,0.35,0.3,0.34,0.24,0.08,0.03,0.0,-0.05
2021,-0.14,-0.09,-0.03,-0.05,0.04,0.17,0.27,0.27,0.25,0.17,0.08,-0.1
2022,0.01,-0.07,-0.06,-0.07,-0.11,-0.0,-0.1,-0.05,-0.08,-0.15,-0.13,-0.09
2023,0.0,-0.02,0.2,0.5,0.55,0.59,0.68,0.83,0.87,0.82,0.95,1.02
2024,1.08,1.02,0.87,0.86,0.66,0.55,0.52,0.43,0.52,0.46,0.43,0.19
2025,0.21,0.28,0.31,0.21,0.27,0.28,0.3,0.23,0.17,0.13,-0.04,0.03
2026,0.07,0.25,0.36,0.5,0.62,0.78,0.9,,,,,
