YEAR	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SET	OCT	NOV	DIC
1950	-1.03	-1.133	-1.312	-1.098	-1.445	-1.376	-1.267	-1.03	-0.597	-0.406	-1.138	-1.235
1951	-1.049	-1.152	-1.204	-0.544	-0.374	0.319	0.676	0.842	0.773	0.768	0.726	0.504
1952	0.433	0.138	0.047	0.198	-0.307	-0.722	-0.307	-0.358	0.347	0.306	-0.328	-0.098
1953	0.044	0.401	0.257	0.668	0.773	0.226	0.379	0.228	0.527	0.124	0.099	0.351
1954	-0.036	-0.027	0.147	-0.634	-1.478	-1.528	-1.356	-1.446	-1.138	-1.32	-1.113	-1.088
1955	-0.74	-0.669	-1.147	-1.662	-1.663	-2.209	-1.977	-2.043	-1.803	-1.725	-1.813	-1.846
1956	-1.408	-1.275	-1.399	-1.248	-1.316	-1.49	-1.245	-1.106	-1.327	-1.461	-1.014	-0.993
1957	-0.915	-0.348	0.101	0.372	0.826	0.753	0.924	1.157	1.158	1.114	1.167	1.268
1958	1.473	1.454	1.32	0.987	0.685	0.841	0.7	0.442	0.209	0.237	0.501	0.691
1959	0.553	0.81	0.495	0.192	-0.026	-0.036	-0.112	0.13	0.126	-0.038	-0.151	-0.247
1960	-0.287	-0.253	-0.094	-0.005	-0.321	-0.254	-0.318	-0.233	-0.439	-0.332	-0.308	-0.39
1961	-0.15	-0.235	-0.088	0.004	-0.304	-0.153	-0.21	-0.283	-0.271	-0.51	-0.416	-0.608
1962	-1.065	-0.963	-0.712	-1.068	-0.894	-0.839	-0.682	-0.523	-0.528	-0.642	-0.598	-0.482
1963	-0.718	-0.837	-0.69	-0.768	-0.48	-0.112	0.403	0.611	0.778	0.848	0.866	0.765
1964	0.878	0.481	-0.269	-0.562	-1.249	-1.113	-1.386	-1.476	-1.284	-1.196	-1.211	-0.907
1965	-0.536	-0.329	-0.278	0.063	0.474	0.895	1.366	1.452	1.43	1.25	1.378	1.27
1966	1.307	1.186	0.681	0.506	-0.178	-0.169	-0.116	0.171	-0.06	-0.018	0.022	-0.181
1967	-0.462	-0.898	-1.066	-1.037	-0.453	-0.217	-0.489	-0.376	-0.601	-0.655	-0.407	-0.357
1968	-0.602	-0.727	-0.641	-0.959	-1.106	-0.777	-0.503	-0.087	0.244	0.46	0.607	0.367
1969	0.67	0.849	0.453	0.616	0.681	0.823	0.49	0.232	0.2	0.537	0.683	0.417
1970	0.38	0.432	0.22	0	-0.097	-0.608	-1.053	-0.995	-1.226	-1.068	-1.063	-1.203
1971	-1.204	-1.507	-1.817	-1.87	-1.444	-1.392	-1.206	-1.201	-1.439	-1.399	-1.301	-0.969
1972	-0.575	-0.398	-0.269	-0.171	0.428	0.995	1.824	1.828	1.574	1.667	1.74	1.787
1973	1.723	1.515	0.86	0.473	-0.096	-0.728	-1.057	-1.323	-1.712	-1.65	-1.482	-1.826
1974	-1.912	-1.768	-1.767	-1.643	-1.061	-0.663	-0.751	-0.649	-0.599	-1.031	-1.23	-0.886
1975	-0.522	-0.576	-0.879	-0.959	-0.841	-1.115	-1.498	-1.704	-1.853	-1.968	-1.748	-1.732
1976	-1.587	-1.366	-1.234	-1.18	-0.486	0.306	0.634	0.676	1.064	0.978	0.511	0.565
1977	0.529	0.29	0.139	0.545	0.318	0.443	0.888	0.706	0.824	1.016	0.99	0.877
1978	0.777	0.912	0.936	0.191	-0.381	-0.575	-0.421	-0.182	-0.364	0.003	0.203	0.406
