YEAR,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1982,-0.33,-0.21,-0.17,-0.52,-0.22,-0.2,-0.53,-0.5,-0.55,-0.76,-0.83,-0.93
1983,-0.53,-0.16,0.27,0.36,0.22,0.14,-0.25,-0.49,-0.37,-0.81,-0.48,-0.24
1984,-0.28,-0.34,-0.44,-0.69,-0.67,-0.65,-0.86,-0.74,-0.77,-0.93,-0.88,-0.77
1985,-0.61,-0.61,-0.87,-0.97,-0.96,-0.66,-0.54,-0.49,-0.64,-0.83,-0.59,-0.63
1986,-0.74,-0.58,-0.59,-0.79,-0.89,-0.83,-0.88,-0.91,-0.78,-0.78,-0.63,-1.04
1987,-0.5,-0.43,-0.15,-0.05,-0.02,0.29,-0.14,0.05,-0.14,0.04,0.04,0.18
1988,-0.02,-0.13,0.07,0.04,-0.11,0.05,0.07,-0.4,-0.41,-0.61,-0.55,-0.58
1989,-0.74,-0.69,-0.9,-0.96,-0.94,-0.6,-0.34,-0.06,-0.59,-0.48,-0.5,-0.27
1990,-0.4,-0.32,-0.23,-0.05,0.01,-0.34,-0.16,-0.22,-0.1,-0.18,-0.25,-0.27
1991,-0.37,-0.38,-0.51,-0.58,-0.65,-0.63,-0.7,-0.88,-0.65,-0.7,-0.67,-0.51
1992,-0.5,-0.52,-0.42,-0.5,-0.38,-0.6,-0.41,-0.5,-0.54,-0.64,-0.57,-0.73
1993,-0.48,-0.51,-0.45,-0.31,-0.23,-0.25,-0.53,-0.65,-0.56,-0.44,-0.55,-0.56
1994,-0.7,-0.85,-0.74,-0.78,-0.8,-0.83,-0.77,-0.6,-0.75,-0.79,-0.56,-0.68
1995,-0.33,-0.35,-0.19,0.05,0.23,0.01,0.06,0.04,-0.1,0.05,0.14,0.21
1996,0.36,0.36,0.12,0.08,-0.06,-0.14,-0.34,-0.3,-0.26,-0.48,-0.59,-0.25
1997,-0.02,-0.12,-0.37,-0.09,-0.02,0.06,-0.09,-0.19,-0.29,0.06,0.19,0.01
1998,0.19,0.36,0.21,0.34,0.51,0.54,0.36,0.36,-0.1,-0.11,-0.02,-0.04
1999,-0.51,-0.4,-0.31,-0.31,-0.23,-0.29,-0.15,-0.02,-0.1,-0.18,-0.19,0.12
2000,-0.28,-0.36,-0.36,-0.56,-0.5,-0.44,-0.35,-0.41,-0.52,-0.28,-0.45,-0.78
2001,-0.63,-0.44,-0.13,-0.39,-0.21,-0.17,-0.01,-0.18,-0.14,-0.43,0.02,0.16
2002,0.45,0.25,0.23,-0.04,-0.3,-0.4,-0.56,-0.4,-0.44,-0.11,-0.11,-0.33
2003,-0.1,-0.08,-0.29,-0.38,-0.55,-0.41,-0.11,0.27,0.21,0.29,0.07,0.24
2004,0.29,0.28,0.16,0.41,0.05,-0.04,0.07,0.31,0.21,0.26,0.43,0.41
2005,0.5,0.78,0.88,0.88,0.98,0.9,0.74,0.49,0.47,0.17,0.08,0.35
2006,0.21,0.12,-0.03,0.22,0.37,0.11,-0.13,-0.05,0.16,0.27,0.34,0.1
2007,0.19,0.55,0.28,0.21,0.05,-0.05,-0.08,-0.29,-0.25,-0.08,-0.17,-0.18
2008,-0.1,-0.25,-0.17,-0.28,0.03,0.22,0.27,0.24,0.49,0.43,0.29,0.21
2009,0.05,-0.23,-0.21,-0.06,-0.26,-0.15,0.16,0.06,0.09,0.06,0.14,0.13
2010,0.42,0.68,1.16,1.17,1.19,1.11,1.01,0.77,0.55,0.5,0.51,0.55
2011,0.69,0.34,0.42,0.46,0.41,0.69,0.37,0.34,0.05,-0.03,0.0,0.01
2012,-0.09,-0.09,-0.33,-0.11,-0.05,0.11,0.18,0.26,0.35,0.17,0.47,0.45
2013,0.19,0.19,0.61,0.43,0.37,0.33,0.11,0.19,0.34,0.27,0.02,-0.03
2014,-0.11,-0.2,-0.39,-0.21,-0.21,-0.21,-0.23,-0.12,0.04,0.21,0.03,0.1
2015,0.03,0.17,0.03,-0.34,-0.35,-0.44,-0.26,-0.06,0.35,0.48,0.25,0.01
2016,0.15,0.15,0.37,0.29,0.46,0.35,0.43,0.5,0.34,0.32,0.46,0.56
2017,0.33,0.28,0.14,0.24,0.45,0.55,0.65,0.52,0.28,-0.0,0.19,0.48
2018,0.27,-0.07,-0.02,-0.25,-0.49,-0.69,-0.44,-0.28,-0.01,0.02,-0.08,-0.34
2019,-0.17,0.13,-0.13,-0.05,-0.07,0.17,0.16,0.16,0.4,0.35,0.14,0.01
2020,0.07,0.23,0.42,0.45,0.25,0.59,0.58,0.42,0.39,0.27,0.19,0.36
2021,0.49,0.23,0.14,0.14,0.01,0.09,0.12,0.24,0.42,0.15,0.31,0.26
2022,0.35,0.51,0.1,0.01,0.31,0.39,0.25,0.36,0.41,0.25,-0.11,-0.01
2023,-0.1,0.14,0.43,0.54,0.83,1.32,1.31,1.27,1.34,1.05,0.87,0.97
2024,1.1,1.34,1.54,1.54,1.49,1.47,1.2,1.09,1.12,1.02,0.87,0.61
2025,0.88,0.6,0.34,0.11,0.19,0.13,0.48,0.49,0.5,0.41,0.39,0.2
2026,0.31,0.4,0.13,0.07,0.18,0.17,0.37,,,,,
