Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
1950 -1.3 -1.2 -1.1 -1.1 -1.1 -0.9 -0.6 -0.6 -0.6 -0.6 -0.7 -0.8
1951 -0.7 -0.4 0.0 0.2 0.3 0.5 0.7 0.9 1.0 1.0 1.0 0.7
1952 0.5 0.3 0.3 0.2 -0.1 -0.4 -0.4 -0.2 0.0 0.0 -0.1 0.1
1953 0.3 0.5 0.5 0.6 0.8 0.7 0.6 0.7 0.6 0.8 0.5 0.6
1954 0.4 0.4 0.0 -0.3 -0.5 -0.5 -0.7 -0.8 -0.7 -0.5 -0.4 -0.4
1955 -0.5 -0.5 -0.6 -0.8 -0.8 -0.9 -0.7 -0.9 -1.1 -1.4 -1.6 -1.5
1956 -1.2 -0.8 -0.6 -0.5 -0.5 -0.5 -0.5 -0.5 -0.4 -0.4 -0.4 -0.4
1957 -0.3 -0.1 0.3 0.6 0.7 0.8 1.0 1.0 1.1 1.2 1.4 1.6
1958 1.7 1.6 1.2 0.8 0.6 0.5 0.4 0.3 0.3 0.3 0.4 0.6
1959 0.6 0.6 0.5 0.4 0.2 0.0 -0.2 -0.2 0.0 0.1 0.2 0.1
Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
1960 0.0 0.0 0.1 0.2 0.0 0.0 0.0 0.2 0.2 0.1 -0.1 -0.1
1961 0.0 0.0 0.0 0.1 0.2 0.2 0.1 -0.2 -0.3 -0.2 -0.1 0.0
1962 -0.2 -0.2 -0.1 -0.2 -0.2 -0.1 0.0 -0.1 -0.2 -0.2 -0.2 -0.3
1963 -0.3 -0.2 0.0 0.1 0.1 0.5 0.8 1.1 1.1 1.1 1.2 1.1
1964 0.9 0.5 0.1 -0.3 -0.6 -0.7 -0.7 -0.7 -0.7 -0.8 -0.8 -0.7
1965 -0.5 -0.2 0.0 0.2 0.5 0.8 1.1 1.3 1.6 1.7 1.8 1.6
1966 1.2 1.0 0.8 0.4 0.2 0.2 0.3 0.1 -0.1 -0.1 -0.2 -0.3
1967 -0.5 -0.5 -0.5 -0.4 -0.1 0.1 0.0 -0.3 -0.4 -0.4 -0.4 -0.4
1968 -0.6 -0.7 -0.6 -0.5 -0.1 0.2 0.4 0.4 0.3 0.5 0.7 0.9
1969 1.0 1.0 0.8 0.7 0.6 0.5 0.4 0.4 0.6 0.7 0.8 0.7
Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
1970 0.5 0.2 0.2 0.3 0.1 -0.3 -0.5 -0.7 -0.7 -0.7 -0.8 -1.1
1971 -1.3 -1.4 -1.1 -0.8 -0.7 -0.7 -0.7 -0.6 -0.7 -0.8 -0.9 -0.8
1972 -0.6 -0.3 0.0 0.3 0.5 0.7 1.0 1.3 1.5 1.7 1.8 1.8
1973 1.6 1.1 0.6 0.0 -0.5 -0.8 -1.0 -1.1 -1.3 -1.6 -1.9 -2.0
1974 -1.9 -1.6 -1.2 -1.0 -0.7 -0.6 -0.5 -0.4 -0.5 -0.7 -0.9 -0.7
1975 -0.6 -0.5 -0.6 -0.7 -0.8 -0.9 -1.1 -1.1 -1.3 -1.3 -1.5 -1.6
1976 -1.5 -1.1 -0.6 -0.4 -0.2 0.0 0.2 0.4 0.6 0.8 0.8 0.8
1977 0.7 0.7 0.3 0.3 0.3 0.5 0.4 0.4 0.5 0.7 0.8 0.8
1978 0.7 0.5 0.2 -0.1 -0.3 -0.2 -0.4 -0.4 -0.4 -0.3 -0.1 0.1
1979 0.2 0.2 0.3 0.3 0.3 0.1 0.1 0.2 0.3 0.5 0.5 0.6
Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
1980 0.6 0.5 0.4 0.3 0.5 0.4 0.2 -0.1 -0.2 -0.1 0.1 0.0
1981 -0.3 -0.4 -0.4 -0.3 -0.3 -0.3 -0.3 -0.2 -0.1 -0.2 -0.2 -0.1
1982 0.0 0.0 0.1 0.3 0.7 0.7 0.8 1.0 1.5 1.8 2.0 2.1
1983 2.1 1.9 1.5 1.2 1.0 0.6 0.3 -0.1 -0.4 -0.8 -1.0 -0.9
1984 -0.6 -0.5 -0.4 -0.5 -0.5 -0.5 -0.4 -0.2 -0.3 -0.6 -0.9 -1.1
1985 -1.0 -0.9 -0.8 -0.8 -0.8 -0.6 -0.4 -0.3 -0.3 -0.3 -0.3 -0.4
1986 -0.4 -0.4 -0.2 -0.2 -0.1 0.0 0.2 0.5 0.6 0.9 1.1 1.2
1987 1.2 1.1 1.0 0.9 1.0 1.1 1.3 1.5 1.5 1.4 1.2 1.0
1988 0.6 0.4 0.0 -0.4 -1.0 -1.3 -1.3 -1.1 -1.3 -1.5 -1.8 -1.8
1989 -1.6 -1.4 -1.1 -0.8 -0.6 -0.4 -0.4 -0.4 -0.3 -0.2 -0.1 0.0
Year DJF JFM FMA MAM AMJ MJJ JJA JAS ASO SON OND NDJ
1990 0.2 0.2 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3
1991 0.4 0.3 0.2 0.3 0.5 0.6 0.8 0.7 0.7 0.8 1.2 1.4
1992 1.5 1.5 1.4 1.3 1.1 0.7 0.4 0.1 -0.1 -0.2 -0.2 0.0
1993 0.1 0.3 0.5 0.7 0.8 0.6 0.3 0.2 0.2 0.2 0.2 0.2
