YEAR,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1982,-0.34,-0.44,-0.46,-0.65,-0.8,-0.7,-0.7,-0.95,-0.58,-0.36,-0.51,-0.51
1983,0.01,0.06,-0.43,-0.53,-0.81,-0.73,-0.6,-0.34,-0.16,-0.36,-0.09,0.09
1984,0.17,0.22,0.27,0.14,-0.06,0.21,0.21,0.51,0.63,0.3,0.14,0.05
1985,0.06,0.17,-0.33,-0.3,-0.24,-0.26,-0.16,-0.06,-0.07,-0.04,-0.02,-0.09
1986,-0.22,0.04,-0.12,-0.24,-0.16,0.02,-0.09,-0.07,0.06,-0.13,-0.27,-0.25
1987,-0.39,-0.29,-0.23,-0.17,-0.09,0.02,0.12,0.01,-0.08,0.09,0.33,0.1
1988,0.28,0.18,0.24,0.13,0.29,0.31,0.16,0.28,-0.02,0.13,-0.02,0.06
1989,0.29,-0.06,0.0,-0.07,-0.07,-0.01,-0.05,0.25,0.13,0.0,-0.3,-0.51
1990,-0.72,-0.29,-0.17,0.02,-0.36,-0.07,-0.32,-0.35,-0.17,0.03,-0.07,0.03
1991,-0.37,-0.26,-0.28,-0.05,0.13,-0.04,-0.35,-0.26,-0.36,-0.43,-0.59,-0.42
1992,-0.43,-0.51,-0.82,-0.97,-1.0,-1.06,-0.84,-0.85,-0.79,-0.78,-0.89,-0.77
1993,-0.46,-0.46,-0.54,-0.14,-0.46,-0.39,-0.16,-0.22,0.33,0.49,0.62,0.38
1994,-0.05,-0.3,-0.0,-0.18,-0.14,-0.24,-0.55,-0.32,-0.53,-0.34,0.02,-0.14
1995,-0.02,0.14,0.19,0.28,0.01,0.24,-0.1,-0.57,-0.38,-0.34,-0.27,-0.38
1996,-0.4,-0.03,-0.11,0.13,0.09,0.32,0.23,0.08,-0.09,-0.23,-0.37,-0.53
1997,-0.91,-0.94,-1.01,-1.01,-1.21,-1.11,-0.59,-0.51,-0.22,0.33,0.48,0.62
1998,0.45,0.2,0.04,0.02,-0.0,0.28,0.46,0.08,-0.02,-0.18,-0.02,-0.34
1999,-0.55,-0.48,-0.32,-0.0,0.0,-0.18,0.33,0.1,0.02,0.08,-0.02,0.17
2000,-0.27,0.05,-0.18,-0.33,-0.2,-0.17,-0.19,0.11,-0.0,-0.08,-0.12,-0.34
2001,-0.21,-0.31,-0.24,-0.14,0.23,0.01,-0.04,-0.21,-0.28,-0.1,-0.04,-0.29
2002,-0.31,-0.46,-0.21,-0.07,0.15,0.08,-0.05,-0.23,-0.22,-0.09,-0.25,0.1
2003,0.21,0.43,0.29,0.09,-0.08,-0.29,0.17,0.43,0.18,0.39,0.34,0.31
2004,0.18,-0.18,-0.38,-0.59,-0.56,-0.31,-0.16,0.1,0.31,-0.07,0.04,0.13
2005,0.36,0.31,0.3,-0.03,-0.44,-0.58,-0.51,-0.26,-0.22,-0.23,-0.22,-0.17
2006,-0.34,0.12,0.02,0.13,0.18,0.3,0.21,0.24,0.23,0.02,-0.01,0.12
2007,-0.03,-0.01,-0.19,-0.14,0.06,0.17,0.02,0.02,0.27,-0.06,0.03,0.01
2008,0.01,0.34,0.39,0.44,0.62,0.51,0.51,0.51,0.26,-0.04,0.05,0.13
2009,0.12,0.13,0.33,0.35,0.43,0.39,0.11,0.09,0.17,0.32,0.26,0.59
2010,0.63,0.43,0.72,0.6,0.5,0.66,0.33,0.2,0.13,0.24,0.19,0.13
2011,0.11,0.52,0.5,0.41,0.07,-0.16,0.14,-0.03,0.13,0.09,-0.11,-0.72
2012,-0.67,-0.83,-0.34,-0.52,-0.3,-0.5,-0.29,-0.13,-0.17,-0.34,-0.28,-0.01
2013,0.18,-0.04,-0.03,-0.03,0.03,-0.12,-0.1,0.11,-0.03,-0.09,-0.27,-0.11
2014,-0.05,0.17,0.04,0.01,0.18,0.34,0.0,-0.05,0.07,0.04,-0.47,-0.42
2015,0.21,0.27,-0.01,0.16,0.11,0.02,-0.13,-0.28,-0.18,-0.01,0.23,0.57
2016,0.71,0.63,0.47,0.29,0.18,0.54,0.58,0.53,0.34,0.28,0.29,0.52
2017,0.37,0.02,0.08,0.28,0.33,0.37,0.2,0.46,0.33,0.2,0.1,-0.14
2018,0.11,-0.17,-0.2,0.05,0.1,0.25,0.22,0.33,0.23,0.45,0.3,0.29
2019,0.33,0.51,0.82,0.42,0.33,0.23,0.2,0.03,0.3,0.26,0.84,0.89
2020,1.09,0.75,0.67,0.57,0.67,0.43,0.35,0.49,0.22,0.23,0.11,-0.13
2021,-0.0,-0.08,-0.13,0.22,0.63,0.75,0.97,0.99,0.73,0.76,0.63,0.2
2022,0.44,0.69,0.43,0.32,0.14,0.48,0.16,0.24,0.3,0.44,0.46,0.48
2023,0.71,0.36,0.23,0.28,0.61,0.34,0.26,0.37,0.3,0.05,0.69,1.24
2024,1.19,1.24,1.41,1.31,0.98,0.56,0.27,0.27,0.39,0.42,0.32,0.43
2025,0.37,0.54,0.29,0.23,0.25,0.13,0.1,0.2,0.22,0.15,0.02,0.14
2026,0.42,0.53,0.51,0.64,0.32,0.32,0.2,,,,,
