YEAR,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1982,0.08,-0.2,-0.14,0.02,0.49,0.65,0.27,0.86,1.24,1.73,1.68,2.21
1983,2.13,1.81,1.22,0.68,0.68,0.45,-0.33,-0.44,-0.38,-1.02,-1.29,-1.16
1984,-0.96,-0.16,-0.52,-0.54,-0.69,-1.03,-0.68,-0.54,-0.41,-0.75,-1.3,-1.48
1985,-1.3,-0.92,-0.89,-1.1,-1.08,-1.08,-0.8,-0.63,-0.77,-0.74,-0.59,-0.59
1986,-0.72,-0.78,-0.6,-0.52,-0.56,-0.33,-0.04,0.19,0.4,0.51,0.54,0.82
1987,0.94,0.82,0.89,0.45,0.32,0.72,1.04,1.2,1.32,0.97,0.85,0.77
1988,0.67,0.22,0.06,-0.55,-1.32,-1.7,-1.73,-1.43,-0.93,-2.01,-2.22,-2.01
1989,-2.0,-1.48,-1.44,-1.32,-0.89,-0.67,-0.57,-0.72,-0.51,-0.55,-0.62,-0.2
1990,-0.11,0.01,-0.18,-0.06,0.04,-0.26,-0.03,0.09,-0.03,0.18,-0.09,0.22
1991,0.33,0.14,-0.08,0.08,0.25,0.39,0.47,0.6,0.31,0.64,0.89,1.5
1992,1.67,1.55,1.16,1.0,0.91,0.42,0.15,-0.08,-0.16,-0.5,-0.18,0.14
1993,0.16,0.34,0.23,0.32,0.65,0.15,0.22,-0.04,0.24,0.19,0.08,0.1
1994,0.02,-0.08,0.15,0.08,0.12,0.13,-0.01,0.4,0.28,0.6,0.91,1.15
1995,0.75,0.64,0.3,0.07,-0.21,-0.36,-0.21,-0.57,-0.66,-0.94,-1.01,-0.91
1996,-0.83,-0.77,-0.66,-0.49,-0.51,-0.48,-0.37,-0.31,-0.35,-0.55,-0.43,-0.6
1997,-0.61,-0.39,-0.36,-0.11,0.4,0.81,1.27,1.68,1.84,1.96,2.11,2.1
1998,2.03,1.74,1.18,0.5,0.45,-0.75,-1.15,-1.2,-1.03,-1.34,-1.31,-1.73
1999,-1.58,-1.1,-0.89,-0.99,-0.92,-1.08,-1.03,-1.22,-1.03,-1.19,-1.63,-1.65
2000,-1.77,-1.52,-1.13,-0.9,-0.97,-0.7,-0.73,-0.51,-0.52,-0.71,-0.9,-1.05
2001,-0.76,-0.56,-0.37,-0.56,-0.46,-0.16,-0.11,-0.09,-0.19,-0.25,-0.48,-0.53
2002,-0.2,0.03,-0.06,0.03,0.19,0.6,0.58,0.66,0.85,1.02,1.2,1.3
2003,0.88,0.65,0.5,-0.14,-0.6,-0.34,0.04,0.04,0.18,0.42,0.21,0.34
2004,0.22,0.16,-0.18,-0.04,0.07,-0.0,0.47,0.61,0.67,0.64,0.59,0.63
2005,0.61,0.24,0.27,0.13,0.22,0.2,0.08,0.06,-0.12,-0.07,-0.54,-0.8
2006,-0.93,-0.67,-0.66,-0.28,-0.06,0.08,-0.01,0.33,0.53,0.65,0.85,1.1
2007,0.75,0.11,-0.08,-0.1,-0.43,-0.14,-0.41,-0.58,-0.86,-1.19,-1.42,-1.18
2008,-1.59,-1.49,-0.94,-0.85,-0.69,-0.64,-0.27,-0.07,-0.24,-0.2,-0.35,-0.82
2009,-0.8,-0.6,-0.62,-0.16,0.18,0.42,0.53,0.69,0.71,0.92,1.43,1.68
2010,1.53,1.19,1.11,0.59,-0.11,-0.55,-0.92,-1.21,-1.31,-1.41,-1.44,-1.21
2011,-1.48,-1.19,-0.83,-0.76,-0.39,-0.31,-0.19,-0.42,-0.67,-0.71,-0.98,-0.99
2012,-0.65,-0.55,-0.44,-0.51,-0.19,0.24,0.27,0.68,0.44,0.36,0.5,-0.47
2013,-0.48,-0.48,-0.22,0.11,-0.3,-0.34,-0.26,-0.47,0.05,-0.15,-0.09,-0.18
2014,-0.49,-0.85,-0.34,0.18,0.45,0.47,-0.03,-0.01,0.31,0.43,0.75,0.63
2015,0.51,0.75,0.44,0.82,0.83,1.02,1.26,1.65,1.79,2.21,2.72,2.39
2016,2.47,2.23,1.61,0.98,0.27,0.02,-0.42,-0.49,-0.43,-0.7,-0.64,-0.33
2017,-0.26,0.1,0.21,0.36,0.42,0.39,0.28,-0.06,-0.32,-0.37,-0.91,-0.93
2018,-0.7,-0.67,-0.73,-0.49,-0.11,0.15,0.22,0.28,0.33,0.86,0.86,0.9
2019,0.67,0.71,0.97,0.72,0.75,0.6,0.42,0.15,-0.01,0.52,0.46,0.44
2020,0.52,0.35,0.46,0.41,-0.21,-0.27,-0.14,-0.52,-0.64,-1.13,-1.23,-0.99
2021,-0.9,-0.87,-0.55,-0.57,-0.32,-0.04,-0.19,-0.28,-0.27,-0.77,-0.85,-1.05
2022,-0.83,-0.71,-0.89,-0.95,-1.05,-0.68,-0.62,-0.98,-0.93,-0.85,-0.93,-0.84
2023,-0.69,-0.44,-0.01,0.19,0.47,0.88,1.07,1.3,1.53,1.59,1.9,1.99
2024,1.78,1.53,1.24,0.81,0.31,0.24,0.21,-0.07,-0.15,-0.28,-0.14,-0.62
2025,-0.71,-0.35,0.1,-0.16,-0.04,0.04,-0.06,-0.33,-0.44,-0.48,-0.68,-0.61
2026,-0.54,-0.2,0.03,0.47,0.94,1.55,2.03,,,,,
