YEAR,MONTH,NAtl,ANOM_NAtl,SAtl,ANOM_SAtl,TROP,ANOM_TROP
1982,1,25.67,-0.33,25.26,-0.34,27.38,-0.20
1982,2,25.35,-0.21,26.04,-0.44,27.57,-0.22
1982,3,25.37,-0.17,26.56,-0.46,27.94,-0.26
1982,4,25.36,-0.52,26.26,-0.65,28.40,-0.13
1982,5,26.11,-0.22,25.34,-0.80,28.46,0.02
1982,6,26.52,-0.20,24.19,-0.70,27.88,-0.06
1982,7,26.65,-0.53,23.02,-0.70,27.17,-0.24
1982,8,27.23,-0.50,22.08,-0.95,26.97,-0.17
1982,9,27.59,-0.55,22.35,-0.58,27.14,-0.05
1982,10,27.37,-0.76,22.94,-0.36,27.53,0.11
1982,11,26.76,-0.83,23.39,-0.51,27.74,0.13
1982,12,25.86,-0.93,24.17,-0.51,27.93,0.34
1983,1,25.47,-0.53,25.62,0.01,27.92,0.34
1983,2,25.40,-0.16,26.55,0.06,28.09,0.30
1983,3,25.82,0.27,26.59,-0.43,28.35,0.15
1983,4,26.25,0.36,26.39,-0.53,28.61,0.08
1983,5,26.55,0.22,25.34,-0.81,28.53,0.09
1983,6,26.86,0.14,24.16,-0.73,28.14,0.19
1983,7,26.94,-0.25,23.12,-0.60,27.45,0.03
1983,8,27.24,-0.49,22.69,-0.34,27.12,-0.01
1983,9,27.78,-0.37,22.77,-0.16,27.09,-0.10
1983,10,27.33,-0.81,22.94,-0.36,27.08,-0.35
1983,11,27.11,-0.48,23.81,-0.09,27.15,-0.46
1983,12,26.55,-0.24,24.77,0.09,27.17,-0.42
1984,1,25.72,-0.28,25.77,0.17,27.18,-0.40
1984,2,25.23,-0.34,26.70,0.22,27.41,-0.37
1984,3,25.11,-0.44,27.29,0.27,27.85,-0.35
1984,4,25.19,-0.69,27.05,0.14,28.12,-0.41
1984,5,25.66,-0.67,26.08,-0.06,27.87,-0.56
1984,6,26.07,-0.65,25.09,0.21,27.34,-0.61
1984,7,26.33,-0.86,23.93,0.21,27.00,-0.42
