YEAR,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1948,-0.08,-0.18,0.1,-0.28,-0.27,-0.13,-0.34,-0.53,-0.6,-0.52,-0.23,-0.29
1949,-0.48,-0.33,-0.46,-0.3,-0.66,-0.54,-0.48,-0.38,-0.36,-0.3,-0.42,-0.23
1950,-0.38,-0.54,-0.52,-0.27,-0.46,-0.38,-0.46,-0.49,-0.44,-0.61,-0.4,-0.12
1951,-0.19,-0.35,-0.22,0.02,-0.06,-0.07,0.14,-0.14,-0.22,-0.34,-0.34,-0.37
1952,-0.65,-0.33,-0.18,-0.11,-0.07,0.04,-0.1,-0.18,-0.0,-0.17,-0.03,0.26
1953,0.21,0.23,-0.2,0.02,-0.09,-0.11,-0.09,-0.1,-0.18,-0.27,-0.15,-0.12
1954,-0.14,-0.3,-0.42,-0.61,-0.15,-0.2,-0.46,-0.47,-0.61,-0.75,-0.48,-0.59
1955,-0.16,-0.1,-0.19,-0.17,-0.33,-0.26,-0.15,-0.16,-0.22,-0.22,0.14,0.01
1956,0.13,0.06,-0.19,-0.16,-0.5,-0.69,-0.56,-0.53,-0.65,-0.48,-0.39,-0.25
1957,-0.57,-0.73,-0.33,-0.52,-0.55,-0.33,-0.33,-0.15,-0.16,-0.11,-0.07,-0.12
1958,0.0,0.48,0.75,0.76,0.52,0.51,0.08,-0.07,-0.09,-0.35,-0.12,-0.09
1959,0.03,0.11,-0.25,-0.24,-0.43,-0.5,-0.52,-0.63,-0.53,-0.63,-0.51,-0.52
1960,-0.31,0.0,0.04,-0.03,0.06,-0.15,-0.19,-0.28,-0.43,-0.43,-0.2,-0.31
1961,-0.29,-0.24,-0.14,0.01,0.0,-0.28,-0.27,-0.25,-0.43,-0.55,-0.37,-0.02
1962,-0.03,-0.06,0.26,0.1,0.15,-0.18,-0.02,-0.15,-0.29,-0.35,-0.01,0.22
1963,0.31,0.33,0.18,0.26,-0.06,-0.13,-0.1,-0.2,-0.41,-0.46,-0.14,-0.25
1964,-0.16,0.1,0.13,-0.28,-0.12,-0.17,-0.33,-0.53,-0.64,-0.67,-0.4,-0.48
1965,-0.61,-0.43,-0.28,-0.34,-0.41,-0.53,-0.47,-0.53,-0.5,-0.52,-0.4,-0.28
1966,-0.27,0.2,0.28,0.37,0.15,0.03,-0.12,-0.3,-0.3,-0.32,0.04,-0.05
1967,-0.0,-0.18,-0.3,-0.11,-0.36,-0.45,-0.47,-0.63,-0.52,-0.56,-0.64,-0.52
1968,-0.55,-0.29,-0.21,-0.26,-0.29,-0.49,-0.47,-0.48,-0.45,-0.33,-0.14,-0.01
1969,0.18,0.56,0.98,0.68,0.52,0.13,0.12,0.0,-0.11,-0.26,0.03,0.15
1970,0.39,0.46,0.68,0.52,0.31,-0.01,-0.3,-0.4,-0.5,-0.49,-0.33,-0.27
1971,-0.14,-0.21,-0.34,-0.5,-0.67,-0.86,-0.73,-0.8,-0.66,-0.61,-0.44,-0.6
1972,-0.51,-0.55,-0.66,-0.46,-0.66,-0.6,-0.68,-0.78,-0.7,-0.5,-0.4,-0.66
1973,-0.56,-0.47,-0.48,-0.35,-0.16,-0.31,-0.33,-0.5,-0.54,-0.68,-0.54,-0.39
1974,-0.52,-0.69,-0.88,-1.25,-1.1,-0.86,-0.78,-0.72,-0.87,-0.89,-0.82,-0.81
1975,-0.48,-0.59,-0.65,-0.6,-0.91,-0.65,-0.55,-0.48,-0.64,-0.72,-0.7,-0.55
1976,-0.55,-0.65,-0.96,-0.82,-0.99,-0.84,-0.64,-0.27,-0.24,-0.25,-0.27,-0.6
1977,-0.4,-0.4,-0.27,-0.25,-0.28,-0.2,-0.42,-0.62,-0.61,-0.66,-0.57,-0.44
1978,-0.13,0.02,0.09,0.1,-0.13,-0.39,-0.6,-0.66,-0.59,-0.35,-0.3,-0.48
1979,-0.08,0.1,-0.01,0.14,0.15,0.18,0.01,-0.25,-0.27,-0.32,-0.2,-0.03
1980,0.15,0.23,0.02,0.4,0.5,0.23,-0.08,-0.04,-0.17,-0.38,-0.28,-0.31
1981,0.03,-0.01,0.45,0.18,0.16,-0.06,-0.12,-0.24,-0.23,-0.39,-0.18,-0.02
1982,-0.06,-0.24,-0.23,-0.32,-0.24,-0.4,-0.54,-0.64,-0.66,-0.77,-0.77,-0.79
1983,-0.61,-0.19,0.28,0.29,-0.03,0.1,-0.05,-0.33,-0.56,-0.58,-0.26,-0.06
1984,-0.3,-0.38,-0.25,-0.34,-0.36,-0.61,-0.63,-0.62,-0.62,-0.92,-0.77,-0.79
1985,-0.68,-0.55,-0.77,-0.81,-0.91,-0.54,-0.32,-0.42,-0.54,-0.57,-0.39,-0.54
1986,-0.86,-0.8,-0.76,-0.8,-0.74,-0.84,-0.65,-0.74,-0.34,-0.63,-0.91,-0.98
1987,-0.57,-0.35,0.06,0.17,0.17,0.37,0.21,0.22,0.02,0.02,0.05,0.22
1988,-0.09,-0.2,0.12,0.22,0.08,0.1,-0.0,-0.31,-0.32,-0.63,-0.54,-0.52
1989,-0.67,-0.66,-0.82,-1.04,-0.86,-0.42,-0.03,0.05,-0.32,-0.3,-0.35,-0.07
1990,-0.33,-0.28,-0.2,-0.1,-0.07,-0.27,-0.22,-0.04,0.02,-0.01,0.02,-0.12
1991,-0.39,-0.29,-0.37,-0.54,-0.62,-0.67,-0.67,-0.62,-0.52,-0.53,-0.46,-0.47
1992,-0.24,-0.14,-0.34,-0.44,-0.39,-0.36,-0.29,-0.56,-0.58,-0.48,-0.61,-0.52
1993,-0.5,-0.43,-0.38,-0.22,-0.25,-0.18,-0.44,-0.45,-0.5,-0.56,-0.65,-0.7
1994,-0.83,-0.78,-0.76,-0.62,-0.7,-0.67,-0.67,-0.63,-0.62,-0.5,-0.34,-0.42
1995,-0.3,-0.22,-0.21,-0.04,0.1,0.23,0.31,0.25,0.03,-0.06,0.2,0.17
1996,0.49,0.22,0.07,0.15,0.16,-0.06,-0.15,-0.36,-0.22,-0.34,-0.28,-0.15
1997,0.06,0.16,-0.0,0.12,0.23,0.29,0.06,-0.17,-0.12,0.16,0.27,0.15
1998,0.19,0.59,0.59,0.43,0.39,0.42,0.29,0.33,0.13,0.07,0.12,0.0
1999,-0.35,-0.38,-0.38,-0.28,-0.09,-0.1,-0.1,0.01,0.01,-0.18,-0.18,-0.02
2000,-0.42,-0.28,-0.09,-0.17,-0.27,-0.4,-0.27,-0.19,-0.36,-0.42,-0.43,-0.49
2001,-0.38,-0.32,-0.01,-0.11,-0.14,-0.01,0.02,0.0,0.13,0.06,0.31,0.37
2002,0.53,0.35,0.21,-0.18,-0.4,-0.38,-0.33,-0.38,-0.31,-0.07,-0.09,-0.09
2003,0.02,-0.17,-0.11,-0.15,-0.14,-0.02,0.09,0.26,0.28,0.38,0.17,0.2
2004,0.25,0.34,0.2,0.3,-0.03,0.02,0.18,0.35,0.21,0.2,0.32,0.24
2005,0.22,0.2,0.53,0.65,0.81,0.67,0.57,0.41,0.35,0.12,0.09,0.26
2006,0.16,0.01,0.02,0.26,0.23,0.28,0.09,0.2,0.31,0.31,0.4,0.18
2007,0.21,0.38,0.17,0.24,0.01,-0.08,-0.18,-0.33,-0.27,-0.19,-0.07,-0.21
2008,-0.1,-0.0,0.12,-0.06,0.07,0.15,0.17,0.12,0.2,0.01,-0.04,-0.03
2009,-0.17,-0.55,-0.49,-0.47,-0.43,-0.19,0.17,0.07,-0.03,0.2,0.2,0.25
2010,0.55,0.9,1.12,1.25,1.15,0.87,0.74,0.63,0.37,0.35,0.39,0.67
2011,0.73,0.35,0.25,0.17,0.2,0.35,0.15,0.15,-0.01,0.02,-0.1,-0.06
2012,-0.09,-0.19,-0.41,-0.33,-0.11,0.07,0.02,0.19,0.34,0.35,0.44,0.26
2013,0.19,0.22,0.55,0.37,0.44,0.07,0.06,0.22,0.23,0.23,0.02,-0.02
2014,-0.12,-0.25,-0.5,-0.36,-0.27,-0.29,-0.13,-0.1,0.13,0.13,0.04,0.05
2015,-0.08,-0.06,-0.27,-0.4,-0.13,-0.31,-0.12,0.09,0.35,0.51,0.18,0.13
2016,0.25,0.28,0.24,0.17,0.18,0.15,0.1,0.15,0.01,0.12,0.15,0.23
2017,0.24,0.06,-0.03,0.31,0.38,0.35,0.32,0.33,0.15,0.03,0.22,0.25
2018,0.03,-0.27,-0.13,-0.33,-0.6,-0.72,-0.48,-0.32,-0.04,-0.13,-0.32,-0.33
2019,-0.17,-0.04,-0.15,-0.17,-0.08,0.06,0.09,0.09,0.2,0.01,-0.05,-0.04
2020,0.01,0.32,0.58,0.46,0.32,0.47,0.38,0.25,0.15,0.19,0.08,0.17
2021,0.27,0.23,-0.01,0.16,0.04,-0.1,-0.02,-0.07,0.16,0.03,0.11,0.16
2022,0.36,0.39,-0.07,-0.11,0.14,0.23,0.05,0.14,0.25,0.08,0.02,0.18
2023,0.23,0.04,0.49,0.62,0.83,1.17,1.14,1.02,1.06,0.89,0.78,0.88
2024,1.17,1.41,1.21,1.17,1.22,1.09,0.87,0.79,0.66,0.61,0.67,0.62
2025,0.66,0.41,0.25,0.06,0.12,0.11,0.32,0.42,0.35,0.31,0.47,0.25
2026,0.24,0.38,0.04,0.07,0.14,0.13,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
